pair_id,single_recovery,circuit_recovery,improvement,circuit_better
1,0.2516045380875202,0.6012965964343598,0.34969205834683964,True
8,0.3090233584251549,0.5078366486054038,0.1988132901802489,True
12,0.1962716254972707,0.3835295983505808,0.1872579728533101,True
15,0.2452945377473679,0.5773262377035961,0.3320316999562283,True
16,0.2607041061610587,0.4729483472039789,0.21224424104292017,True
17,0.1946822535300751,0.5187979478708366,0.3241156943407615,True
18,0.1684657690119476,0.4966660345154561,0.3282002655035085,True
19,0.1644296669355956,0.4581978501984369,0.29376818326284126,True
20,0.2486556399408736,0.6539069269585606,0.405251287017687,True
22,0.1720650971717491,0.4297062902687804,0.25764119309703126,True
26,0.2855287989733525,0.6232279006567525,0.3376991016834,True
27,0.1683068478194941,0.5329198762661491,0.364613028446655,True
32,0.1525275190196656,0.3870719158677274,0.23454439684806178,True
33,0.2396263696784623,0.6285402071732231,0.38891383749476083,True
34,0.1636360300188994,0.4593356453023602,0.2956996152834608,True
37,0.1831896709557881,0.5288874892894022,0.3456978183336141,True
41,0.0912385368285291,0.2614433903293955,0.1702048535008664,True
42,0.0824490320920959,0.4087630807677113,0.32631404867561536,True
50,0.2086176584522781,0.4733603504276051,0.264742691975327,True
52,0.1244128372713222,0.3546715424322932,0.23025870516097102,True
54,0.131146012231798,0.4895516820665055,0.3584056698347075,True
55,0.1046348250949536,0.3979259769573139,0.2932911518623603,True
58,0.3228298624632015,0.6457531814146197,0.3229233189514182,True
61,0.2639917823569694,0.7042893606424703,0.44029757828550087,True
63,0.205192239595952,0.5781724658478856,0.3729802262519336,True
64,0.0688436664988576,0.2463695155481547,0.17752584904929708,True
66,0.128213069061629,0.3436397966013646,0.21542672753973563,True
70,0.1470660628138229,0.6292704538741755,0.48220439106035257,True
73,0.176107964011996,0.5614295234921692,0.3853215594801732,True
74,0.1387001439793882,0.4079037106266892,0.26920356664730094,True
78,0.1853394418992086,0.5303540191586839,0.34501457725947526,True
79,0.1032523130674833,0.402031617314038,0.29877930424655474,True
85,0.0864658232456539,0.4142532083371257,0.3277873850914718,True
86,0.0517638501636562,0.3866529276275912,0.334889077463935,True
87,0.1425396211828372,0.3983257634325473,0.2557861422497101,True
88,0.1489122246526107,0.4726853574637635,0.32377313281115283,True
91,0.1303259844975959,0.4254480845782953,0.2951221000806994,True
92,0.207503709229218,0.5754428532784668,0.36793914404924877,True
96,0.1946600502815989,0.6108775127076311,0.4162174624260322,True
98,0.0794632991318074,0.385698500394633,0.3062352012628256,True
